"Note","Number"
"Gm",0
"G",1
"G#m",2
"G#",3
"Am",4
"A",5
"A#m",6
"A#",7
"Bm",8
"B",9
"Cm",10
"C",11
"C#m",12
"C#",13
"Dm",14
"D",15
"D#m",16
"D#",17
"Em",18
"E",19
"Fm",20
"F",21
"F#m",22
"F#",23
"Gm",24
"G",25
"G#m",26
"G#",27
"Am",28
"A",29
"A#m",30
"A#",31
"Bm",32
"B",33
"Cm",34
"C",35
"C#m",36
"C#",37
"Dm",38
"D",39
"D#m",40
"D#",41
"Em",42
"E",43
"Fm",44
"F",45
"F#m",46
"F#",47
"Gm",48
"G",49
